epoch,home_team,away_team,tournament,neutral,home_team_win_percent,away_team_win_percent,winner
-2092330800.0,H-Argentina,A-Uruguay,Friendly,F,1.0,0.0,Away
-2077729200.0,H-Wales,A-England,British Home Championship,F,0.08695652173913043,0.6086956521739131,Tie
-2076692400.0,H-Northern Ireland,A-England,British Home Championship,F,0.42857142857142855,0.5652173913043478,Away
-2076692400.0,H-Scotland,A-Wales,British Home Championship,F,0.625,0.08695652173913043,Tie
-2075914800.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.08695652173913043,0.4,Away
-2074273200.0,H-Scotland,A-England,British Home Championship,F,0.5333333333333333,0.6086956521739131,Away
-2072372400.0,H-Belgium,A-France,Évence Coppée Trophy,F,0.0,0.0,Tie
-2047575600.0,H-France,A-Switzerland,Friendly,F,0.0,0.0,Home
-2046452400.0,H-England,A-Northern Ireland,British Home Championship,F,0.6086956521739131,0.4666666666666667,Tie
-2045674800.0,H-Wales,A-Scotland,British Home Championship,F,0.08695652173913043,0.5,Home
-2043860400.0,H-England,A-Wales,British Home Championship,F,0.5909090909090909,0.13636363636363635,Home
-2043428400.0,H-England,A-Scotland,British Home Championship,F,0.6086956521739131,0.4666666666666667,Home
-2042823600.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.4,0.13043478260869565,Tie
-2040922800.0,H-Belgium,A-Netherlands,Friendly,F,0.0,0.0,Away
-2040318000.0,H-Belgium,A-France,Friendly,F,0.0,0.5,Home
-2039713200.0,H-Netherlands,A-Belgium,Friendly,F,1.0,0.3333333333333333,Home
-2031678000.0,H-Argentina,A-Uruguay,Copa Lipton,F,0.5,0.5,Tie
-2015607600.0,H-Northern Ireland,A-England,British Home Championship,F,0.3333333333333333,0.625,Away
-2014398000.0,H-Scotland,A-Wales,British Home Championship,F,0.4375,0.13043478260869565,Away
-2013015600.0,H-Wales,A-England,British Home Championship,F,0.17391304347826086,0.625,Away
-2011806000.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.17391304347826086,0.3333333333333333,Tie
-2011374000.0,H-Scotland,A-England,British Home Championship,F,0.4,0.6086956521739131,Home
-2010078000.0,H-France,A-Belgium,Friendly,F,0.3333333333333333,0.25,Away
-2009473200.0,H-Belgium,A-Netherlands,Friendly,F,0.4,1.0,Home
-2008263600.0,H-Netherlands,A-Belgium,Friendly,F,0.6666666666666666,0.5,Away
-2000142000.0,H-Uruguay,A-Argentina,Copa Lipton,F,0.3333333333333333,0.3333333333333333,Away
-1994353200.0,H-Argentina,A-Uruguay,Copa Newton,F,0.5,0.25,Home
-1984158000.0,H-England,A-Northern Ireland,British Home Championship,F,0.6086956521739131,0.26666666666666666,Home
-1983553200.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.25,0.16666666666666666,Away
-1982775600.0,H-Wales,A-Scotland,British Home Championship,F,0.20833333333333334,0.4375,Home
-1981566000.0,H-England,A-Wales,British Home Championship,F,0.6086956521739131,0.2608695652173913,Tie
-1979924400.0,H-England,A-Scotland,British Home Championship,F,0.5652173913043478,0.4,Tie
-1979233200.0,H-Belgium,A-Netherlands,Friendly,F,0.5714285714285714,0.5,Away
-1978628400.0,H-Belgium,A-France,Friendly,F,0.5,0.25,Away
-1977073200.0,H-Netherlands,A-Belgium,Friendly,F,0.6,0.4444444444444444,Away
-1952708400.0,H-Northern Ireland,A-England,British Home Championship,F,0.1875,0.5416666666666666,Away
-1950894000.0,H-Scotland,A-Wales,British Home Championship,F,0.3333333333333333,0.22727272727272727,Home
-1950807600.0,H-Switzerland,A-France,Friendly,F,0.0,0.4,Away
-1950116400.0,H-Wales,A-England,British Home Championship,F,0.21739130434782608,0.5416666666666666,Away
-1948993200.0,H-Belgium,A-Netherlands,Friendly,F,0.5,0.5,Away
-1948474800.0,H-Scotland,A-England,British Home Championship,F,0.3333333333333333,0.6086956521739131,Tie
-1948388400.0,H-Switzerland,A-Germany,Friendly,F,0.0,0.0,Home
-1947870000.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.21739130434782608,0.2,Away
-1947783600.0,H-France,A-Belgium,Friendly,F,0.5,0.45454545454545453,Away
-1946574000.0,H-Netherlands,A-Belgium,Friendly,F,0.5714285714285714,0.5,Home
-1945364400.0,H-Netherlands,A-France,Friendly,F,0.625,0.42857142857142855,Home
-1943031600.0,H-Austria,A-England,Friendly,F,0.0,0.5833333333333334,Away
-1942945200.0,H-Austria,A-Germany,Friendly,F,0.0,0.0,Home
-1942858800.0,H-Austria,A-England,Friendly,F,0.5,0.6,Away
-1942686000.0,H-Hungary,A-England,Friendly,F,0.0,0.6153846153846154,Away
-1942426800.0,H-Czechoslovakia,A-England,Friendly,F,0.0,0.6296296296296297,Away
-1936983600.0,H-Uruguay,A-Argentina,Copa Lipton,F,0.2,0.6,Tie
-1934478000.0,H-Argentina,A-Uruguay,Copa Newton,F,0.5,0.16666666666666666,Home
-1932663600.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.5714285714285714,0.14285714285714285,Away
-1930849200.0,H-Netherlands,A-Sweden,Friendly,F,0.6666666666666666,0.0,Home
-1930762800.0,H-Belgium,A-Sweden,Friendly,F,0.46153846153846156,0.0,Home
-1921258800.0,H-England,A-Northern Ireland,British Home Championship,F,0.6428571428571429,0.25,Home
-1919876400.0,H-Wales,A-Scotland,British Home Championship,F,0.21739130434782608,0.3333333333333333,Home
-1918666800.0,H-England,A-Wales,British Home Championship,F,0.6296296296296297,0.22727272727272727,Home
-1918234800.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.26666666666666666,0.21739130434782608,Away
-1918148400.0,H-Belgium,A-Netherlands,Friendly,F,0.5,0.7,Away
-1917025200.0,H-England,A-Scotland,British Home Championship,F,0.6666666666666666,0.3333333333333333,Home
-1916938800.0,H-Germany,A-Switzerland,Friendly,F,0.0,0.3333333333333333,Home
-1916938800.0,H-Hungary,A-Germany,Friendly,F,0.0,0.3333333333333333,Tie
-1915124400.0,H-Netherlands,A-Belgium,Friendly,F,0.7272727272727273,0.4666666666666667,Home
-1913914800.0,H-Belgium,A-France,Friendly,F,0.4375,0.375,Home
-1912186800.0,H-Hungary,A-England,Friendly,F,0.0,0.6785714285714286,Away
-1912014000.0,H-Hungary,A-England,Friendly,F,0.0,0.6896551724137931,Away
-1911927600.0,H-Austria,A-England,Friendly,F,0.3333333333333333,0.7,Away
-1905447600.0,H-Argentina,A-Uruguay,Copa Lipton,F,0.5,0.25,Home
-1902423600.0,H-Uruguay,A-Argentina,Copa Newton,F,0.2222222222222222,0.5555555555555556,Tie
-1900609200.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.5,0.2,Home
-1889809200.0,H-Northern Ireland,A-England,British Home Championship,F,0.25,0.7096774193548387,Tie
-1887994800.0,H-Scotland,A-Wales,British Home Championship,F,0.3125,0.2727272727272727,Home
-1887303600.0,H-Belgium,A-Netherlands,Friendly,F,0.47058823529411764,0.75,Home
-1887217200.0,H-Wales,A-England,British Home Championship,F,0.2727272727272727,0.7,Away
-1885575600.0,H-Scotland,A-England,British Home Championship,F,0.3125,0.7096774193548387,Home
-1885489200.0,H-France,A-Belgium,Friendly,F,0.3333333333333333,0.5,Away
-1885489200.0,H-Switzerland,A-Germany,Friendly,F,0.25,0.25,Away
-1884884400.0,H-Netherlands,A-Belgium,Friendly,F,0.6923076923076923,0.5263157894736842,Home
-1884798000.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.2608695652173913,0.2,Home
-1883674800.0,H-Netherlands,A-Germany,Friendly,F,0.7142857142857143,0.4,Home
-1881860400.0,H-Italy,A-France,Friendly,F,0.0,0.3,Home
-1881774000.0,H-Germany,A-Belgium,Friendly,F,0.3333333333333333,0.5,Away
-1880823600.0,H-Argentina,A-Chile,Friendly,F,0.5454545454545454,0.0,Home
-1880650800.0,H-Chile,A-Uruguay,Friendly,T,0.0,0.18181818181818182,Away
-1880046000.0,H-Argentina,A-Chile,Friendly,F,0.5833333333333334,0.0,Home
-1879441200.0,H-Argentina,A-Uruguay,Friendly,F,0.6153846153846154,0.25,Home
-1873911600.0,H-Uruguay,A-Argentina,Copa Lipton,F,0.25,0.6153846153846154,Home
-1871578800.0,H-Chile,A-Argentina,Friendly,F,0.0,0.5714285714285714,Away
-1868554800.0,H-Germany,A-Netherlands,Friendly,F,0.2857142857142857,0.7333333333333333,Away
-1866135600.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.6,0.3076923076923077,Tie
-1864926000.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.5625,0.2857142857142857,Away
-1861902000.0,H-France,A-Hungary,Friendly,F,0.2727272727272727,0.0,Away
-1861297200.0,H-Switzerland,A-Hungary,Friendly,F,0.2,0.2,Home
-1859569200.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.1875,0.2916666666666667,Away
-1858359600.0,H-England,A-Northern Ireland,British Home Championship,F,0.7,0.1875,Home
-1856372400.0,H-Wales,A-Scotland,British Home Championship,F,0.34782608695652173,0.3333333333333333,Tie
-1855767600.0,H-England,A-Wales,British Home Championship,F,0.7,0.3333333333333333,Home
-1855249200.0,H-Belgium,A-Netherlands,Friendly,F,0.5238095238095238,0.75,Away
-1854644400.0,H-Germany,A-Switzerland,Friendly,F,0.25,0.3333333333333333,Home
-1854126000.0,H-England,A-Scotland,British Home Championship,F,0.7333333333333333,0.26666666666666666,Tie
-1854039600.0,H-Netherlands,A-Belgium,Friendly,F,0.7647058823529411,0.5,Home
-1853434800.0,H-France,A-Italy,Friendly,F,0.25,1.0,Tie
-1852225200.0,H-Belgium,A-Germany,Friendly,F,0.4782608695652174,0.3333333333333333,Home
-1852225200.0,H-Switzerland,A-France,Friendly,F,0.2857142857142857,0.23076923076923078,Home
-1851620400.0,H-Belgium,A-France,Friendly,F,0.5,0.21428571428571427,Home
-1851015600.0,H-Italy,A-Switzerland,Friendly,F,0.5,0.375,Tie
-1849806000.0,H-Switzerland,A-Italy,Friendly,F,0.3333333333333333,0.3333333333333333,Home
-1847386800.0,H-Sweden,A-Germany,Friendly,F,0.0,0.3,Away
-1842375600.0,H-Argentina,A-Uruguay,Copa Lipton,F,0.5294117647058824,0.3333333333333333,Away
-1839524400.0,H-Uruguay,A-Argentina,Copa Newton,F,0.3333333333333333,0.5294117647058824,Away
-1837710000.0,H-Uruguay,A-Argentina,Copa Premio Honor Uruguayo,F,0.3125,0.5555555555555556,Tie
-1837623600.0,H-Germany,A-Austria,Friendly,F,0.36363636363636365,0.25,Away
-1836500400.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.5263157894736842,0.29411764705882354,Home
-1835895600.0,H-Germany,A-Sweden,Friendly,F,0.3333333333333333,0.0,Away
-1835895600.0,H-Hungary,A-Switzerland,Friendly,F,0.16666666666666666,0.4,Home
-1835895600.0,H-Luxembourg,A-France,Friendly,F,0.0,0.2,Away
-1835895600.0,H-Uruguay,A-Argentina,Copa Premio Honor Uruguayo,F,0.2777777777777778,0.55,Home
-1831662000.0,H-Germany,A-Hungary,Friendly,F,0.3076923076923077,0.2857142857142857,Away
-1828033200.0,H-France,A-Belgium,Friendly,F,0.25,0.52,Tie
-1826910000.0,H-Northern Ireland,A-England,British Home Championship,F,0.125,0.7096774193548387,Away
-1826910000.0,H-France,A-Catalonia,Friendly,F,0.23529411764705882,0.0,Home
-1826218800.0,H-France,A-Switzerland,Friendly,F,0.2777777777777778,0.36363636363636365,Home
-1826046000.0,H-Belgium,A-Switzerland,Friendly,F,0.5,0.3333333333333333,Home
-1825095600.0,H-Scotland,A-Wales,British Home Championship,F,0.25,0.34782608695652173,Home
-1824404400.0,H-Belgium,A-Netherlands,Friendly,F,0.5185185185185185,0.7777777777777778,Away
-1824318000.0,H-Wales,A-England,British Home Championship,F,0.34782608695652173,0.7333333333333333,Away
-1823799600.0,H-Italy,A-France,Friendly,F,0.25,0.3157894736842105,Away
-1823281200.0,H-Scotland,A-England,British Home Championship,F,0.3125,0.7419354838709677,Tie
-1823194800.0,H-Netherlands,A-Germany,Friendly,F,0.7894736842105263,0.2857142857142857,Tie
-1821466800.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.34782608695652173,0.06666666666666667,Away
-1821380400.0,H-Hungary,A-Germany,Friendly,F,0.375,0.26666666666666666,Tie
-1820170800.0,H-Netherlands,A-Belgium,Friendly,F,0.75,0.5185185185185185,Home
-1819566000.0,H-Switzerland,A-Germany,Friendly,F,0.3076923076923077,0.25,Away
-1814295600.0,H-Netherlands,A-Austria,Friendly,T,0.7619047619047619,0.4,Home
-1810753200.0,H-Uruguay,A-Argentina,Copa Lipton,F,0.3157894736842105,0.5238095238095238,Home
-1809889200.0,H-Uruguay,A-Argentina,Copa Premio Honor Uruguayo,F,0.35,0.5,Home
-1807470000.0,H-Argentina,A-Uruguay,Copa Premio Honor Argentino,F,0.4782608695652174,0.38095238095238093,Away
-1806260400.0,H-Argentina,A-Uruguay,Copa Newton,F,0.4583333333333333,0.4090909090909091,Tie
-1806260400.0,H-Denmark,A-Germany,Friendly,F,0.0,0.29411764705882354,Home
